arch_config,workload,layer,sample_idx,cache_type,associativity,l1_size_bytes,l2_size_bytes,l1_hits,l1_accesses,l1_hit_rate,l2_hits,l2_accesses,l2_hit_rate,overall_hit_rate,n_cores
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,set_associative,32,16384,131072,852032,3370176,0.2528152832374333,2511968,2518144,0.9975473999898338,0.998167454756072,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,set_associative,32,16384,262144,852032,3370176,0.2528152832374333,2511968,2518144,0.9975473999898338,0.998167454756072,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,set_associative,32,16384,524288,852032,3370176,0.2528152832374333,2511968,2518144,0.9975473999898338,0.998167454756072,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,set_associative,32,16384,1048576,852032,3370176,0.2528152832374333,2511968,2518144,0.9975473999898338,0.998167454756072,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,set_associative,32,32768,131072,1207744,3370176,0.35836229324521923,2156256,2162432,0.997143956434237,0.998167454756072,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,set_associative,32,32768,262144,1207744,3370176,0.35836229324521923,2156256,2162432,0.997143956434237,0.998167454756072,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,set_associative,32,32768,524288,1207744,3370176,0.35836229324521923,2156256,2162432,0.997143956434237,0.998167454756072,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,set_associative,32,32768,1048576,1207744,3370176,0.35836229324521923,2156256,2162432,0.997143956434237,0.998167454756072,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,set_associative,4,16384,131072,898112,3370176,0.26648815966881256,2465888,2472064,0.9975016828043287,0.998167454756072,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,set_associative,4,16384,262144,898112,3370176,0.26648815966881256,2465888,2472064,0.9975016828043287,0.998167454756072,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,set_associative,4,16384,524288,898112,3370176,0.26648815966881256,2465888,2472064,0.9975016828043287,0.998167454756072,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,set_associative,4,16384,1048576,898112,3370176,0.26648815966881256,2465888,2472064,0.9975016828043287,0.998167454756072,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,set_associative,4,32768,131072,1063008,3370176,0.31541616817638013,2300992,2307168,0.9973231251473668,0.998167454756072,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,set_associative,4,32768,262144,1063008,3370176,0.31541616817638013,2300992,2307168,0.9973231251473668,0.998167454756072,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,set_associative,4,32768,524288,1063008,3370176,0.31541616817638013,2300992,2307168,0.9973231251473668,0.998167454756072,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,set_associative,4,32768,1048576,1063008,3370176,0.31541616817638013,2300992,2307168,0.9973231251473668,0.998167454756072,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_02_layer1_0_conv2,0,fully_associative,0,16384,131072,646672,911392,0.7095432042414241,258288,264720,0.9757026291931097,0.9929426635300727,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_02_layer1_0_conv2,0,fully_associative,0,16384,262144,646672,911392,0.7095432042414241,258288,264720,0.9757026291931097,0.9929426635300727,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_02_layer1_0_conv2,0,fully_associative,0,16384,524288,646672,911392,0.7095432042414241,258288,264720,0.9757026291931097,0.9929426635300727,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_02_layer1_0_conv2,0,fully_associative,0,16384,1048576,646672,911392,0.7095432042414241,258288,264720,0.9757026291931097,0.9929426635300727,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_02_layer1_0_conv2,0,fully_associative,0,32768,131072,646672,911392,0.7095432042414241,258288,264720,0.9757026291931097,0.9929426635300727,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_02_layer1_0_conv2,0,fully_associative,0,32768,262144,646672,911392,0.7095432042414241,258288,264720,0.9757026291931097,0.9929426635300727,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_02_layer1_0_conv2,0,fully_associative,0,32768,524288,646672,911392,0.7095432042414241,258288,264720,0.9757026291931097,0.9929426635300727,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_02_layer1_0_conv2,0,fully_associative,0,32768,1048576,646672,911392,0.7095432042414241,258288,264720,0.9757026291931097,0.9929426635300727,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_02_layer1_0_conv2,0,set_associative,32,16384,131072,243232,911392,0.2668796741687441,661728,668160,0.9903735632183908,0.9929426635300727,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_02_layer1_0_conv2,0,set_associative,32,16384,262144,243232,911392,0.2668796741687441,661728,668160,0.9903735632183908,0.9929426635300727,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_02_layer1_0_conv2,0,set_associative,32,16384,524288,243232,911392,0.2668796741687441,661728,668160,0.9903735632183908,0.9929426635300727,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_02_layer1_0_conv2,0,set_associative,32,16384,1048576,243232,911392,0.2668796741687441,661728,668160,0.9903735632183908,0.9929426635300727,1024
